price,id
2962.47,0
5272.76,1
9349.16,2
4208.44,3
1696.24,4
6202.58,5
4770.68,6
4198.29,7
5107.09,8
16105.19,9
4441.33,10
897.28,11
3232.93,12
1672.06,13
2447.43,14
1153.85,15
1442.82,16
4080.16,17
4149.27,18
874.05,19
2171.33,20
5241.98,21
4170.91,22
606.99,23
16196.39,24
1012.27,25
612.34,26
998.45,27
1665.37,28
923.63,29
10176.68,30
563.75,31
4139.28,32
732.36,33
648.08,34
2318.58,35
6235.395,36
2664.28,37
3028.44,38
646.2,39
509.12,40
8924.29,41
901.14,42
1945.16,43
10472.07,44
2492.24,45
865.8,46
842.49,47
1261.99,48
2829.32,49
557.58,50
4473.91,51
2916.64,52
7196.24,53
5415.91,54
2232.85,55
9511.33,56
2453.9,57
4441.47,58
2907.97,59
1246.34,60
524.96,61
7086.95,62
1213.16,63
8692.77,64
16953.266666666666,65
907.88,66
12355.79,67
5316.59,68
9235.29,69
457.69,70
618.9033333333333,71
892.71,72
1227.47,73
5269.48,74
1839.44,75
8673.51,76
14045.99,77
2703.01,78
6671.36,79
10981.17,80
2079.76,81
13782.88,82
6321.74,83
891.28,84
7652.8275,85
1020.71,86
12292.19,87
7956.44,88
14550.55,89
5037.84,90
1335.97,91
996.51,92
909.0396666666668,93
16852.28,94
546.38,95
14659.56,96
14995.77,97
12920.65,98
726.85,99
2516.22,100
763.49,101
628.54,102
448.56,103
1023.2,104
1628.67,105
1439.12,106
749.04,107
1044.67,108
735.19,109
649.97,110
1010.24,111
1965.08,112
1668.29,113
1461.13,114
5294.94,115
5370.83,116
16063.98,117
505.5,118
16825.35,119
1319.26,120
1674.13,121
1126.57,122
461.75,123
730.17,124
1286.75,125
1131.51,126
13574.12,127
5231.51,128
5130.72,129
6411.42,130
3204.64,131
6919.14,132
1060.32,133
3473.643333333333,134
1039.53,135
601.48,136
7504.16,137
576.98,138
4365.94,139
880.8,140
987.09,141
3593.75,142
4604.21,143
807.56,144
6203.36,145
15944.01,146
5534.26,147
2508.61,148
1949.97,149
2620.55,150
1709.68,151
11491.03,152
2826.72,153
721.49,154
14987.983333333335,155
3306.69,156
2796.38,157
4146.03,158
891.62,159
7937.68,160
9773.34,161
653.87,162
696.39,163
5565.91,164
